18-dic-2025;;;;;;;;;;;
iShares Automation & Robotics UCITS ETF;;;;;;;;;;;
Inception Date;08/09/2016;;;;;;;;;;
Fund Holdings as of;18/12/2025;;;;;;;;;;
Number of Securities;137,00;;;;;;;;;;
Shares Outstanding;214.769.795,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
IPGP;IPG PHOTONICS CORP;IT;Azionario;6.516.938,32;0,18;6.516.938,32;86.696,00;75,17;Stati Uniti;NASDAQ;USD
HI;HILLENBRAND INC;Industriali;Azionario;6.343.197,16;0,17;6.343.197,16;200.164,00;31,69;Stati Uniti;New York Stock Exchange Inc.;USD
HIAB;HIAB CORPORATION CLASS B;Industriali;Azionario;6.239.301,10;0,17;6.239.301,10;111.540,00;55,94;Finlandia;Nasdaq Omx Helsinki Ltd.;EUR
IFCN;INFICON HOLDING AG;IT;Azionario;5.854.204,03;0,16;5.854.204,03;47.431,00;123,43;Svizzera;SIX Swiss Exchange;CHF
KRN;KRONES AG;Industriali;Azionario;5.835.497,80;0,16;5.835.497,80;37.584,00;155,27;Germania;Xetra;EUR
KARN;KARDEX HOLDING AG;Industriali;Azionario;5.824.052,90;0,16;5.824.052,90;16.877,00;345,09;Svizzera;SIX Swiss Exchange;CHF
2049;HIWIN TECHNOLOGIES CORP;Industriali;Azionario;5.718.576,81;0,16;5.718.576,81;932.394,00;6,13;Taiwan;Taiwan Stock Exchange;TWD
INRN;INTERROLL HOLDING AG;Industriali;Azionario;5.494.911,84;0,15;5.494.911,84;2.058,00;2.670,03;Svizzera;SIX Swiss Exchange;CHF
JUN3;JUNGHEINRICH PREF AG;Industriali;Azionario;5.405.976,14;0,15;5.405.976,14;134.555,00;40,18;Germania;Xetra;EUR
KALMAR;KALMAR CORPORATION CLASS B;Industriali;Azionario;5.103.514,62;0,14;5.103.514,62;112.337,00;45,43;Finlandia;Nasdaq Omx Helsinki Ltd.;EUR
4733;OBIC BUSINESS CONSULTANTS LTD;IT;Azionario;4.950.936,38;0,14;4.950.936,38;88.700,00;55,82;Giappone;Tokyo Stock Exchange;JPY
RSW;RENISHAW PLC;IT;Azionario;4.594.207,23;0,13;4.594.207,23;99.566,00;46,14;Regno unito;London Stock Exchange;GBP
9759;NSD LTD;IT;Azionario;4.572.082,03;0,13;4.572.082,03;202.900,00;22,53;Giappone;Tokyo Stock Exchange;JPY
TWEKA;TKH GROUP NV;Industriali;Azionario;4.301.916,78;0,12;4.301.916,78;100.614,00;42,76;Paesi Bassi;Euronext Amsterdam;EUR
5269;ASMEDIA TECHNOLOGY INC;IT;Azionario;4.189.192,22;0,11;4.189.192,22;113.448,00;36,93;Taiwan;Taiwan Stock Exchange;TWD
6324;HARMONIC DRIVE SYSTEMS INC;Industriali;Azionario;4.126.796,10;0,11;4.126.796,10;182.100,00;22,66;Giappone;Tokyo Stock Exchange;JPY
MXL;MAXLINEAR INC;IT;Azionario;3.997.837,04;0,11;3.997.837,04;230.822,00;17,32;Stati Uniti;NASDAQ;USD
6814;FURUNO ELECTRIC LTD;IT;Azionario;3.961.117,36;0,11;3.961.117,36;83.600,00;47,38;Giappone;Tokyo Stock Exchange;JPY
ASAN;ASANA INC CLASS A;IT;Azionario;3.699.003,98;0,10;3.699.003,98;256.519,00;14,42;Stati Uniti;New York Stock Exchange Inc.;USD
PRLB;PROTO LABS INC;Industriali;Azionario;3.598.520,40;0,10;3.598.520,40;68.465,00;52,56;Stati Uniti;New York Stock Exchange Inc.;USD
4373;SIMPLEX HOLDINGS INC;IT;Azionario;3.445.541,80;0,09;3.445.541,80;503.700,00;6,84;Giappone;Tokyo Stock Exchange;JPY
012510;DOUZONBIZON LTD;IT;Azionario;3.423.278,14;0,09;3.423.278,14;58.712,00;58,31;Corea;Korea Exchange (Stock Market);KRW
PD;PAGERDUTY INC;IT;Azionario;3.392.264,59;0,09;3.392.264,59;261.547,00;12,97;Stati Uniti;New York Stock Exchange Inc.;USD
3035;FARADAY TECHNOLOGY CORP;IT;Azionario;3.264.619,22;0,09;3.264.619,22;613.078,00;5,32;Taiwan;Taiwan Stock Exchange;TWD
DUE;D RR AG;Industriali;Azionario;3.213.008,49;0,09;3.213.008,49;131.723,00;24,39;Germania;Xetra;EUR
3697;SHIFT INC;IT;Azionario;3.179.118,58;0,09;3.179.118,58;515.100,00;6,17;Giappone;Tokyo Stock Exchange;JPY
AUTO;AUTOSTORE HOLDINGS LTD;Industriali;Azionario;3.149.560,40;0,09;3.149.560,40;3.122.551,00;1,01;Norvegia;Oslo Bors Asa;NOK
JEN;JENOPTIK N AG;IT;Azionario;3.085.311,78;0,08;3.085.311,78;138.180,00;22,33;Germania;Xetra;EUR
OUST;OUSTER INC;IT;Azionario;3.057.995,80;0,08;3.057.995,80;142.897,00;21,40;Stati Uniti;NASDAQ;USD
IMD;IMDEX LTD;Materiali;Azionario;3.045.726,65;0,08;3.045.726,65;1.374.306,00;2,22;Australia;Asx - All Markets;AUD
TATATECH;TATA TECHNOLOGIES LTD;IT;Azionario;3.012.672,24;0,08;3.012.672,24;422.854,00;7,12;India;National Stock Exchange Of India;INR
454910;DOOSAN ROBOTICS INC;Industriali;Azionario;2.913.697,44;0,08;2.913.697,44;55.439,00;52,56;Corea;Korea Exchange (Stock Market);KRW
MBLY;MOBILEYE GLOBAL INC CLASS A;Consumi Discrezionali;Azionario;2.907.846,90;0,08;2.907.846,90;289.338,00;10,05;Stati Uniti;NASDAQ;USD
USD;USD CASH;Liquidità e/o derivati;Contanti;2.732.018,39;0,07;2.732.018,39;2.732.018,00;100,00;Stati Uniti;--;USD
7734;RIKEN KEIKI LTD;IT;Azionario;2.638.609,41;0,07;2.638.609,41;130.500,00;20,22;Giappone;Tokyo Stock Exchange;JPY
OERL;OC OERLIKON CORPORATION AG;Industriali;Azionario;2.294.899,74;0,06;2.294.899,74;557.915,00;4,11;Svizzera;SIX Swiss Exchange;CHF
6516;SANYO DENKI LTD;Industriali;Azionario;2.072.197,76;0,06;2.072.197,76;81.600,00;25,39;Giappone;Tokyo Stock Exchange;JPY
268A;RIGAKU HOLDINGS CORP;IT;Azionario;2.012.497,99;0,06;2.012.497,99;281.000,00;7,16;Giappone;Tokyo Stock Exchange;JPY
6104;SHIBAURA MACHINE LTD;Industriali;Azionario;1.873.638,50;0,05;1.873.638,50;67.540,00;27,74;Giappone;Tokyo Stock Exchange;JPY
NA9;NAGARRO N;IT;Azionario;1.868.859,75;0,05;1.868.859,75;21.192,00;88,19;Germania;Xetra;EUR
140860;PARKSYSTEMS CORP;IT;Azionario;1.810.010,82;0,05;1.810.010,82;12.865,00;140,69;Corea;Korea Exchange (Kosdaq);KRW
900926;SHANGHAI BAOSIGHT SOFTWARE LTD B;IT;Azionario;1.805.023,58;0,05;1.805.023,58;1.928.444,00;0,94;Cina;Shanghai Stock Exchange;USD
INDI;INDIE SEMICONDUCTOR INC CLASS A;IT;Azionario;1.790.331,04;0,05;1.790.331,04;486.503,00;3,68;Stati Uniti;NASDAQ;USD
6526;AIROHA TECHNOLOGY CORP;IT;Azionario;1.674.321,30;0,05;1.674.321,30;124.000,00;13,50;Taiwan;Taiwan Stock Exchange;TWD
6914;OPTEX GROUP LTD;IT;Azionario;1.667.023,69;0,05;1.667.023,69;95.400,00;17,47;Giappone;Tokyo Stock Exchange;JPY
JPY;JPY CASH;Liquidità e/o derivati;Contanti;1.631.341,98;0,04;1.631.341,98;253.747.089,00;0,64;Giappone;--;JPY
4776;CYBOZU INC;IT;Azionario;1.568.050,40;0,04;1.568.050,40;85.400,00;18,36;Giappone;Tokyo Stock Exchange;JPY
2388;VIA TECHNOLOGIES INC;IT;Azionario;1.443.217,80;0,04;1.443.217,80;816.000,00;1,77;Taiwan;Taiwan Stock Exchange;TWD
CMCO;COLUMBUS MCKINNON CORP;Industriali;Azionario;1.351.712,12;0,04;1.351.712,12;77.774,00;17,38;Stati Uniti;NASDAQ;USD
CEVA;CEVA INC;IT;Azionario;1.307.358,24;0,04;1.307.358,24;63.341,00;20,64;Stati Uniti;NASDAQ;USD
6258;HIRATA CORP;Industriali;Azionario;1.298.518,11;0,04;1.298.518,11;88.200,00;14,72;Giappone;Tokyo Stock Exchange;JPY
348210;NEXTIN INC;IT;Azionario;1.221.004,33;0,03;1.221.004,33;27.392,00;44,58;Corea;Korea Exchange (Kosdaq);KRW
PENTA;PENTAMASTER CORPORATION;Industriali;Azionario;1.172.808,37;0,03;1.172.808,37;1.244.700,00;0,94;Malesia;Bursa Malaysia;MYR
MLAB;MESA LABORATORIES INC;Salute;Azionario;1.171.843,40;0,03;1.171.843,40;14.539,00;80,60;Stati Uniti;NASDAQ;USD
7105;MITSUBISHI LOGISNEXT LTD;Industriali;Azionario;1.004.265,65;0,03;1.004.265,65;101.500,00;9,89;Giappone;Tokyo Stock Exchange;JPY
HY;HYSTER YALE INC CLASS A;Industriali;Azionario;975.553,92;0,03;975.553,92;31.328,00;31,14;Stati Uniti;New York Stock Exchange Inc.;USD
4919;NUVOTON TECHNOLOGY CORP;IT;Azionario;883.088,48;0,02;883.088,48;555.000,00;1,59;Taiwan;Taiwan Stock Exchange;TWD
DOMO;DOMO INC CLASS B;IT;Azionario;858.400,05;0,02;858.400,05;99.237,00;8,65;Stati Uniti;NASDAQ;USD
KOMN;KOMAX HOLDING AG;Industriali;Azionario;857.757,18;0,02;857.757,18;10.382,00;82,62;Svizzera;SIX Swiss Exchange;CHF
3673;BROADLEAF LTD;IT;Azionario;787.790,03;0,02;787.790,03;167.400,00;4,71;Giappone;Tokyo Stock Exchange;JPY
3687;FIXSTARS CORP;IT;Azionario;758.350,32;0,02;758.350,32;76.200,00;9,95;Giappone;Tokyo Stock Exchange;JPY
MVIS;MICROVISION INC;IT;Azionario;652.902,10;0,02;652.902,10;716.137,00;0,91;Stati Uniti;NASDAQ;USD
LEHN;LEM HOLDING SA;IT;Azionario;528.319,27;0,01;528.319,27;1.449,00;364,61;Svizzera;SIX Swiss Exchange;CHF
HSBFT;CASH COLLATERAL USD HSBFT;Liquidità e/o derivati;Cash Collateral and Margins;522.000,00;0,01;522.000,00;522.000,00;100,00;Stati Uniti;--;USD
DND;DYE AND DURHAM LTD;IT;Azionario;508.720,92;0,01;508.720,92;167.945,00;3,03;Canada;Toronto Stock Exchange;CAD
GBP;GBP CASH;Liquidità e/o derivati;Contanti;492.052,48;0,01;492.052,48;367.368,00;133,94;Regno unito;--;GBP
EUR;EUR CASH;Liquidità e/o derivati;Contanti;376.660,64;0,01;376.660,64;321.191,00;117,27;Unione Europea;--;EUR
CAD;CAD CASH;Liquidità e/o derivati;Contanti;325.703,32;0,01;325.703,32;448.379,00;72,64;Canada;--;CAD
TWD;TWD CASH;Liquidità e/o derivati;Contanti;275.172,14;0,01;275.172,14;8.681.544,00;3,17;Taiwan;--;TWD
CHF;CHF CASH;Liquidità e/o derivati;Contanti;191.270,05;0,01;191.270,05;151.868,00;125,94;Svizzera;--;CHF
ILS;ILS CASH;Liquidità e/o derivati;Contanti;182.554,41;0,01;182.554,41;585.735,00;31,17;Israele;--;ILS
NOK;NOK CASH;Liquidità e/o derivati;Contanti;182.481,48;0,01;182.481,48;1.854.395,00;9,84;Norvegia;--;NOK
SEK;SEK CASH;Liquidità e/o derivati;Contanti;174.107,61;0,00;174.107,61;1.616.824,00;10,77;Svezia;--;SEK
KRW;KRW CASH;Liquidità e/o derivati;Contanti;158.011,94;0,00;158.011,94;233.604.857,00;0,07;Corea;--;KRW
AUD;AUD CASH;Liquidità e/o derivati;Contanti;155.316,29;0,00;155.316,29;234.776,00;66,16;Australia;--;AUD
ETD_KRW;ETD KRW BALANCE WITH 597433;Liquidità e/o derivati;Contanti;147.934,22;0,00;147.934,22;218.705.950,00;0,07;Corea;--;KRW
BRL;BRL CASH;Liquidità e/o derivati;Contanti;128.687,21;0,00;128.687,21;709.272,00;18,14;Brasile;--;BRL
HKD;HKD CASH;Liquidità e/o derivati;Contanti;73.311,84;0,00;73.311,84;570.392,00;12,85;Hong Kong;--;HKD
TRY;TRY CASH;Liquidità e/o derivati;Contanti;41.274,29;0,00;41.274,29;1.763.785,00;2,34;Turchia;--;TRY
CZK;CZK CASH;Liquidità e/o derivati;Contanti;12.096,29;0,00;12.096,29;251.452,00;4,81;Repubblica Ceca;--;CZK
MXN;MXN CASH;Liquidità e/o derivati;Contanti;11.501,02;0,00;11.501,02;206.869,00;5,56;Messico;--;MXN
ZAR;ZAR CASH;Liquidità e/o derivati;Contanti;9.335,31;0,00;9.335,31;156.191,00;5,98;Sud Africa;--;ZAR
HUF;HUF CASH;Liquidità e/o derivati;Contanti;9.537,25;0,00;9.537,25;3.152.247,00;0,30;Ungheria;--;HUF
AED;AED CASH;Liquidità e/o derivati;Contanti;3.839,85;0,00;3.839,85;14.103,00;27,23;Emirati Arabi Uniti;--;AED
DKK;DKK CASH;Liquidità e/o derivati;Contanti;3.978,08;0,00;3.978,08;25.344,00;15,70;Danimarca;--;DKK
SGD;SGD CASH;Liquidità e/o derivati;Contanti;4.060,61;0,00;4.060,61;5.238,00;77,53;Singapore;--;SGD
NZD;NZD CASH;Liquidità e/o derivati;Contanti;3.447,32;0,00;3.447,32;5.966,00;57,78;Nuova Zelanda;--;NZD
MYR;MYR CASH;Liquidità e/o derivati;Contanti;507,73;0,00;507,73;2.075,00;24,47;Malesia;--;MYR
PLN;PLN CASH;Liquidità e/o derivati;Contanti;0,51;0,00;0,51;2,00;27,90;Polonia;--;PLN
2299955D;CONSTELLATION SOFTWARE INC;IT;Azionario;0,16;0,00;0,16;22.673,00;0,00;Canada;Toronto Stock Exchange;CAD
ULH6;STOXX 600 TECH MAR 26;Liquidità e/o derivati;Futures;0,00;0,00;1.704.578,08;35,00;974,05;Unione Europea;Eurex Deutschland;EUR
RTYH6;RUSSELL 2000 EMINI CME MAR 26;Liquidità e/o derivati;Futures;0,00;0,00;2.022.960,00;16,00;2.528,70;--;Chicago Mercantile Exchange;USD
NQH6;NASDAQ 100 E-MINI MAR 26;Liquidità e/o derivati;Futures;0,00;0,00;3.031.410,00;6,00;25.261,75;--;Index And Options Market;USD
