15-dic-2025;;;;;;;;;;;;
iShares Global Aerospace & Defence UCITS ETF;;;;;;;;;;;;
Inception Date;01/02/2024;;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;;
Number of Securities;77,00;;;;;;;;;;;
Shares Outstanding;129.545.500,00;;;;;;;;;;;
;;;;;;;;;;;;
Ticker dell'emittente;Nome;Investimento;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
USD;USD CASH;CASH;Liquidità e/o derivati;Contanti;2.912.986,91;0,25;2.912.986,91;2.912.987,00;100,00;Stati Uniti;--;USD
KRMN;KARMAN HOLDINGS INC;EQUITY;Industriali;Azionario;2.683.061,32;0,23;2.683.061,32;39.422,00;68,06;Stati Uniti;New York Stock Exchange Inc.;USD
HAG;HENSOLDT AG;EQUITY;Industriali;Azionario;2.681.514,77;0,23;2.681.514,77;31.575,00;84,93;Germania;Xetra;EUR
ACHR;ARCHER AVIATION INC CLASS A;EQUITY;Industriali;Azionario;2.452.473,45;0,21;2.452.473,45;313.215,00;7,83;Stati Uniti;New York Stock Exchange Inc.;USD
MRCY;MERCURY SYSTEMS INC;EQUITY;Industriali;Azionario;2.048.549,49;0,18;2.048.549,49;27.501,00;74,49;Stati Uniti;NASDAQ;USD
VSEC;VSE CORP;EQUITY;Industriali;Azionario;2.002.749,12;0,17;2.002.749,12;11.824,00;169,38;Stati Uniti;NASDAQ;USD
SARO;STANDARDAERO;EQUITY;Industriali;Azionario;1.979.211,60;0,17;1.979.211,60;72.234,00;27,40;Stati Uniti;New York Stock Exchange Inc.;USD
079550;LIG NEX1 LTD;EQUITY;Industriali;Azionario;1.819.023,01;0,16;1.819.023,01;6.914,00;263,09;Corea;Korea Exchange (Stock Market);KRW
AIR;AAR CORP;EQUITY;Industriali;Azionario;1.579.182,03;0,14;1.579.182,03;19.093,00;82,71;Stati Uniti;New York Stock Exchange Inc.;USD
QQ.;QINETIQ GROUP PLC;EQUITY;Industriali;Azionario;1.413.087,50;0,12;1.413.087,50;242.078,00;5,84;Regno unito;London Stock Exchange;GBP
272210;HANWHA SYSTEMS LTD;EQUITY;Industriali;Azionario;1.361.813,90;0,12;1.361.813,90;38.011,00;35,83;Corea;Korea Exchange (Stock Market);KRW
DRS;LEONARDO DRS INC;EQUITY;Industriali;Azionario;1.344.572,96;0,12;1.344.572,96;39.922,00;33,68;Stati Uniti;NASDAQ;USD
LOAR;LOAR HOLDINGS INC;EQUITY;Industriali;Azionario;1.259.268,36;0,11;1.259.268,36;18.298,00;68,82;Stati Uniti;New York Stock Exchange Inc.;USD
MDA;MDA SPACE LTD;EQUITY;Industriali;Azionario;1.199.520,00;0,10;1.199.520,00;64.260,00;18,67;Canada;Toronto Stock Exchange;CAD
CHG;CHEMRING GROUP PLC;EQUITY;Industriali;Azionario;904.887,39;0,08;904.887,39;140.159,00;6,46;Regno unito;London Stock Exchange;GBP
ICSUAGD;BLK ICS USD LIQ AGENCY DIS;FUND;Liquidità e/o derivati;Money Market;864.304,25;0,08;864.304,25;864.304,00;1,00;Irlanda;--;USD
EXENS;EXOSENS;EQUITY;Industriali;Azionario;855.939,25;0,07;855.939,25;15.958,00;53,64;Francia;Nyse Euronext - Euronext Paris;EUR
ATRO;ASTRONICS CORP;EQUITY;Industriali;Azionario;837.273,86;0,07;837.273,86;16.006,00;52,31;Stati Uniti;NASDAQ;USD
DCO;DUCOMMUN INC;EQUITY;Industriali;Azionario;709.122,26;0,06;709.122,26;7.634,00;92,89;Stati Uniti;New York Stock Exchange Inc.;USD
ASB;AUSTAL LTD;EQUITY;Industriali;Azionario;690.403,44;0,06;690.403,44;158.492,00;4,36;Australia;Asx - All Markets;AUD
DRO;DRONESHIELD LTD;EQUITY;Industriali;Azionario;689.122,15;0,06;689.122,15;450.520,00;1,53;Australia;Asx - All Markets;AUD
BSEN;BET SHEMESH ENGINES HOLDINGS LTD;EQUITY;Industriali;Azionario;665.017,35;0,06;665.017,35;3.445,00;193,04;Israele;Tel Aviv Stock Exchange;ILS
LUNR;INTUITIVE MACHINES INC CLASS A;EQUITY;Industriali;Azionario;636.008,40;0,06;636.008,40;57.195,00;11,12;Stati Uniti;NASDAQ;USD
CDRE;CADRE HOLDINGS INC;EQUITY;Industriali;Azionario;619.183,40;0,05;619.183,40;14.813,00;41,80;Stati Uniti;New York Stock Exchange Inc.;USD
VVX;V2X INC;EQUITY;Industriali;Azionario;586.312,93;0,05;586.312,93;10.589,00;55,37;Stati Uniti;New York Stock Exchange Inc.;USD
AVIO;AVIO;EQUITY;Industriali;Azionario;500.912,06;0,04;500.912,06;15.182,00;32,99;Italia;Borsa Italiana;EUR
EXA;EXAIL TECHNOLOGIES SA;EQUITY;Industriali;Azionario;494.811,21;0,04;494.811,21;4.852,00;101,98;Francia;Nyse Euronext - Euronext Paris;EUR
MILDEF;MILDEF GROUP;EQUITY;Industriali;Azionario;300.170,82;0,03;300.170,82;21.706,00;13,83;Svezia;Nasdaq Omx Nordic;SEK
