15-dic-2025;;;;;;;;;;;
iShares Core MSCI EM IMI UCITS ETF;;;;;;;;;;;
Inception Date;30/05/2014;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;3.022,00;;;;;;;;;;
Shares Outstanding;709.449.982,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
FAB;FIRST ABU DHABI BANK;Finanziari;Azionario;56.432.559,04;0,17;56.432.559,04;12.351.937,00;4,57;Emirati Arabi Uniti;Abu Dhabi Securities Exchange;AED
PKO;POWSZECHNA KASA OSZCZEDNOSCI BANK;Finanziari;Azionario;56.028.240,49;0,17;56.028.240,49;2.407.302,00;23,27;Polonia;Warsaw Stock Exchange/Equities/Main Market;PLN
6160;BEONE MEDICINES AG;Salute;Azionario;55.531.105,91;0,17;55.531.105,91;2.416.892,00;22,98;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
1288;AGRICULTURAL BANK OF CHINA LTD H;Finanziari;Azionario;55.089.762,85;0,17;55.089.762,85;78.374.000,00;0,70;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
AMXB;AMERICA MOVIL B;Comunicazione;Azionario;54.478.995,79;0,17;54.478.995,79;51.517.184,00;1,06;Messico;Bolsa Mexicana De Valores;MXN
SUNPHARMA;SUN PHARMACEUTICAL INDUSTRIES LTD;Salute;Azionario;53.669.907,36;0,16;53.669.907,36;2.709.739,00;19,81;India;National Stock Exchange Of India;INR
1211;SAUDI ARABIAN MINING;Materiali;Azionario;53.043.553,01;0,16;53.043.553,01;3.428.505,00;15,47;Arabia Saudita;Saudi Stock Exchange;SAR
402340;SK SQUARE LTD;Industriali;Azionario;52.899.439,75;0,16;52.899.439,75;266.028,00;198,85;Corea;Korea Exchange (Stock Market);KRW
BAP;CREDICORP LTD;Finanziari;Azionario;51.666.289,92;0,16;51.666.289,92;183.058,00;282,24;Peru;New York Stock Exchange Inc.;USD
DELTA.R;DELTA ELECTRONICS (THAILAND) NON-V;IT;Azionario;50.602.536,40;0,16;50.602.536,40;8.548.700,00;5,92;Tailandia;Stock Exchange Of Thailand;THB
2303;UNITED MICRO ELECTRONICS CORP;IT;Azionario;50.331.765,94;0,15;50.331.765,94;32.320.000,00;1,56;Taiwan;Taiwan Stock Exchange;TWD
086790;HANA FINANCIAL GROUP INC;Finanziari;Azionario;50.273.606,83;0,15;50.273.606,83;805.563,00;62,41;Corea;Korea Exchange (Stock Market);KRW
068270;CELLTRION INC;Salute;Azionario;50.002.610,74;0,15;50.002.610,74;391.651,00;127,67;Corea;Korea Exchange (Stock Market);KRW
EAND;EMIRATES TELECOM;Comunicazione;Azionario;49.957.306,06;0,15;49.957.306,06;9.993.638,00;5,00;Emirati Arabi Uniti;Abu Dhabi Securities Exchange;AED
HCLTECH;HCL TECHNOLOGIES LTD;IT;Azionario;49.901.949,47;0,15;49.901.949,47;2.688.712,00;18,56;India;National Stock Exchange Of India;INR
9987;YUM CHINA HOLDINGS INC;Consumi Discrezionali;Azionario;49.678.223,58;0,15;49.678.223,58;1.022.734,00;48,57;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
CEMEXCPO;CEMEX CPO;Materiali;Azionario;48.625.480,74;0,15;48.625.480,74;41.684.118,00;1,17;Messico;Bolsa Mexicana De Valores;MXN
WALMEX*;WALMART DE MEXICO V;Generi di largo consumo;Azionario;47.831.508,33;0,15;47.831.508,33;14.598.355,00;3,28;Messico;Bolsa Mexicana De Valores;MXN
