15-dic-2025;;;;;;;;;;;
iShares Core MSCI Pacific ex-Japan UCITS ETF;;;;;;;;;;;
Inception Date;12/01/2010;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;94,00;;;;;;;;;;
Shares Outstanding;15.650.285,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
SUN;SUNCORP GROUP LTD;Finanziari;Azionario;20.164.631,50;0,59;20.164.631,50;1.742.556,00;11,57;Australia;Asx - All Markets;AUD
GRAB;GRAB HOLDINGS LTD CLASS A;Industriali;Azionario;19.405.613,20;0,57;19.405.613,20;3.865.660,00;5,02;Singapore;NASDAQ;USD
CPU;COMPUTERSHARE LTD;Industriali;Azionario;19.243.622,43;0,57;19.243.622,43;848.054,00;22,69;Australia;Asx - All Markets;AUD
823;LINK REAL ESTATE INVESTMENT TRUST;Immobili;Azionario;18.805.347,31;0,55;18.805.347,31;4.241.805,00;4,43;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
BN4;KEPPEL LTD;Industriali;Azionario;18.590.082,26;0,55;18.590.082,26;2.371.800,00;7,84;Singapore;Singapore Exchange;SGD
COH;COCHLEAR LTD;Salute;Azionario;18.529.003,10;0,55;18.529.003,10;105.303,00;175,96;Australia;Asx - All Markets;AUD
J36;JARDINE MATHESON HOLDINGS LTD;Industriali;Azionario;18.222.900,00;0,54;18.222.900,00;264.100,00;69,00;Hong Kong;Singapore Exchange;USD
S68;SINGAPORE EXCHANGE LTD;Finanziari;Azionario;18.143.284,96;0,53;18.143.284,96;1.375.261,00;13,19;Singapore;Singapore Exchange;SGD
C38U;CAPITALAND INTEGRATED COMMERCIAL T;Immobili;Azionario;17.766.031,04;0,52;17.766.031,04;9.867.805,00;1,80;Singapore;Singapore Exchange;SGD
S32;SOUTH32 LTD;Materiali;Azionario;16.877.002,96;0,50;16.877.002,96;7.229.927,00;2,33;Australia;Asx - All Markets;AUD
