15-dic-2025;;;;;;;;;;;
iShares MSCI USA SRI UCITS ETF;;;;;;;;;;;
Inception Date;11/07/2016;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;151,00;;;;;;;;;;
Shares Outstanding;168.986.462,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
EQIX;EQUINIX REIT INC;Immobili;Azionario;20.224.669,75;0,54;20.224.669,75;26.563,00;761,38;Stati Uniti;NASDAQ;USD
CI;CIGNA;Salute;Azionario;20.083.397,60;0,54;20.083.397,60;72.464,00;277,15;Stati Uniti;New York Stock Exchange Inc.;USD
ITW;ILLINOIS TOOL INC;Industriali;Azionario;19.441.402,92;0,52;19.441.402,92;75.162,00;258,66;Stati Uniti;New York Stock Exchange Inc.;USD
CMI;CUMMINS INC;Industriali;Azionario;19.431.530,75;0,52;19.431.530,75;37.567,00;517,25;Stati Uniti;New York Stock Exchange Inc.;USD
AWK;AMERICAN WATER WORKS INC;Imprese di servizi di pubblica utilità;Azionario;18.784.235,85;0,50;18.784.235,85;140.045,00;134,13;Stati Uniti;New York Stock Exchange Inc.;USD
ECL;ECOLAB INC;Materiali;Azionario;18.185.528,17;0,49;18.185.528,17;69.647,00;261,11;Stati Uniti;New York Stock Exchange Inc.;USD
TRV;TRAVELERS COMPANIES INC;Finanziari;Azionario;17.756.501,95;0,48;17.756.501,95;61.105,00;290,59;Stati Uniti;New York Stock Exchange Inc.;USD
PWR;QUANTA SERVICES INC;Industriali;Azionario;17.624.839,32;0,47;17.624.839,32;40.436,00;435,87;Stati Uniti;New York Stock Exchange Inc.;USD
TFC;TRUIST FINANCIAL CORP;Finanziari;Azionario;17.407.358,58;0,47;17.407.358,58;349.967,00;49,74;Stati Uniti;New York Stock Exchange Inc.;USD
IDXX;IDEXX LABORATORIES INC;Salute;Azionario;15.171.110,80;0,41;15.171.110,80;21.656,00;700,55;Stati Uniti;NASDAQ;USD
ZTS;ZOETIS INC CLASS A;Salute;Azionario;14.501.146,72;0,39;14.501.146,72;119.864,00;120,98;Stati Uniti;New York Stock Exchange Inc.;USD
DLR;DIGITAL REALTY TRUST REIT INC;Immobili;Azionario;14.227.178,95;0,38;14.227.178,95;93.055,00;152,89;Stati Uniti;New York Stock Exchange Inc.;USD
NTAP;NETAPP INC;IT;Azionario;14.158.540,58;0,38;14.158.540,58;124.078,00;114,11;Stati Uniti;NASDAQ;USD
URI;UNITED RENTALS INC;Industriali;Azionario;14.152.713,72;0,38;14.152.713,72;17.463,00;810,44;Stati Uniti;New York Stock Exchange Inc.;USD
