18-dic-2025;;;;;;;;;;;
iShares Edge MSCI World Quality Factor UCITS ETF;;;;;;;;;;;
Inception Date;03/10/2014;;;;;;;;;;
Fund Holdings as of;18/12/2025;;;;;;;;;;
Number of Securities;299,00;;;;;;;;;;
Shares Outstanding;53.800.000,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
REL;RELX PLC;Industriali;Azionario;17.041.164,34;0,40;17.041.164,34;416.328,00;40,93;Regno unito;London Stock Exchange;GBP
MCO;MOODYS CORP;Finanziari;Azionario;16.777.627,59;0,39;16.777.627,59;33.711,00;497,69;Stati Uniti;New York Stock Exchange Inc.;USD
CB;CHUBB LTD;Finanziari;Azionario;16.207.235,20;0,38;16.207.235,20;52.120,00;310,96;Stati Uniti;New York Stock Exchange Inc.;USD
CTAS;CINTAS CORP;Industriali;Azionario;16.089.949,37;0,38;16.089.949,37;84.733,00;189,89;Stati Uniti;NASDAQ;USD
WSM;WILLIAMS SONOMA INC;Consumi Discrezionali;Azionario;15.666.131,52;0,37;15.666.131,52;82.732,00;189,36;Stati Uniti;New York Stock Exchange Inc.;USD
6098;RECRUIT HOLDINGS LTD;Industriali;Azionario;15.587.939,18;0,37;15.587.939,18;274.000,00;56,89;Giappone;Tokyo Stock Exchange;JPY
TPL;TEXAS PACIFIC LAND CORP;Energia;Azionario;15.577.447,77;0,37;15.577.447,77;17.397,00;895,41;Stati Uniti;New York Stock Exchange Inc.;USD
BHP;BHP GROUP LTD;Materiali;Azionario;15.445.818,06;0,36;15.445.818,06;520.230,00;29,69;Australia;Asx - All Markets;AUD
CME;CME GROUP INC CLASS A;Finanziari;Azionario;15.315.613,13;0,36;15.315.613,13;57.571,00;266,03;Stati Uniti;NASDAQ;USD
AMT;AMERICAN TOWER REIT CORP;Immobili;Azionario;15.233.120,29;0,36;15.233.120,29;87.401,00;174,29;Stati Uniti;New York Stock Exchange Inc.;USD
LMT;LOCKHEED MARTIN CORP;Industriali;Azionario;14.732.777,18;0,35;14.732.777,18;31.337,00;470,14;Stati Uniti;New York Stock Exchange Inc.;USD
ULVR;UNILEVER PLC;Generi di largo consumo;Azionario;14.691.031,83;0,35;14.691.031,83;224.302,00;65,50;Regno unito;London Stock Exchange;GBP
GSK;GLAXOSMITHKLINE;Salute;Azionario;14.654.366,19;0,34;14.654.366,19;603.641,00;24,28;Regno unito;London Stock Exchange;GBP
LULU;LULULEMON ATHLETICA INC;Consumi Discrezionali;Azionario;14.488.303,83;0,34;14.488.303,83;67.353,00;215,11;Stati Uniti;NASDAQ;USD
GRMN;GARMIN LTD;Consumi Discrezionali;Azionario;14.469.432,00;0,34;14.469.432,00;71.560,00;202,20;Stati Uniti;New York Stock Exchange Inc.;USD
8035;TOKYO ELECTRON LTD;IT;Azionario;14.458.851,14;0,34;14.458.851,14;74.200,00;194,86;Giappone;Tokyo Stock Exchange;JPY
MUV2;MUENCHENER RUECKVERSICHERUNGS-GESE;Finanziari;Azionario;14.404.667,42;0,34;14.404.667,42;22.309,00;645,69;Germania;Xetra;EUR
MMC;MARSH & MCLENNAN INC;Finanziari;Azionario;14.271.678,93;0,34;14.271.678,93;76.841,00;185,73;Stati Uniti;New York Stock Exchange Inc.;USD
ITW;ILLINOIS TOOL INC;Industriali;Azionario;14.057.037,52;0,33;14.057.037,52;55.964,00;251,18;Stati Uniti;New York Stock Exchange Inc.;USD
8766;TOKIO MARINE HOLDINGS INC;Finanziari;Azionario;14.054.899,87;0,33;14.054.899,87;370.600,00;37,92;Giappone;Tokyo Stock Exchange;JPY
ULTA;ULTA BEAUTY INC;Consumi Discrezionali;Azionario;13.747.173,43;0,32;13.747.173,43;23.143,00;594,01;Stati Uniti;NASDAQ;USD
FTNT;FORTINET INC;IT;Azionario;12.795.967,25;0,30;12.795.967,25;160.451,00;79,75;Stati Uniti;NASDAQ;USD
HWM;HOWMET AEROSPACE INC;Industriali;Azionario;12.709.818,00;0,30;12.709.818,00;64.191,00;198,00;Stati Uniti;New York Stock Exchange Inc.;USD
GWW;WW GRAINGER INC;Industriali;Azionario;12.484.022,40;0,29;12.484.022,40;12.245,00;1.019,52;Stati Uniti;New York Stock Exchange Inc.;USD
VRTX;VERTEX PHARMACEUTICALS INC;Salute;Azionario;12.225.553,26;0,29;12.225.553,26;27.327,00;447,38;Stati Uniti;NASDAQ;USD
NXT;NEXT PLC;Consumi Discrezionali;Azionario;12.111.214,56;0,28;12.111.214,56;66.268,00;182,76;Regno unito;London Stock Exchange;GBP
FANG;DIAMONDBACK ENERGY INC;Energia;Azionario;12.080.460,00;0,28;12.080.460,00;82.180,00;147,00;Stati Uniti;NASDAQ;USD
SSE;SSE PLC;Imprese di servizi di pubblica utilità;Azionario;12.007.637,69;0,28;12.007.637,69;416.780,00;28,81;Regno unito;London Stock Exchange;GBP
388;HONG KONG EXCHANGES AND CLEARING L;Finanziari;Azionario;11.826.435,47;0,28;11.826.435,47;229.004,00;51,64;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
TSCO;TRACTOR SUPPLY;Consumi Discrezionali;Azionario;11.817.003,61;0,28;11.817.003,61;225.817,00;52,33;Stati Uniti;NASDAQ;USD
CDNS;CADENCE DESIGN SYSTEMS INC;IT;Azionario;11.691.785,50;0,28;11.691.785,50;37.105,00;315,10;Stati Uniti;NASDAQ;USD
CMI;CUMMINS INC;Industriali;Azionario;11.651.197,14;0,27;11.651.197,14;23.274,00;500,61;Stati Uniti;New York Stock Exchange Inc.;USD
NVR;NVR INC;Consumi Discrezionali;Azionario;11.614.648,32;0,27;11.614.648,32;1.536,00;7.561,62;Stati Uniti;New York Stock Exchange Inc.;USD
